Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,22pF,
C2,0805,1,1uf,
C5,0805,1,22uF,
"D1, D10, D100, D101, D102, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-123,102,D_Small,
D103,LED_Inolux_IN-PI554FCH_PLCC4_5.0x5.0mm_P3.2mm,1,Inolux_IN-PI554FCH,
F2,1206,1,500mA,
J1,USB_Mini-B_Lumberg_2486_01_Horizontal,1,USB_B_Mini,
"MX1, MX10, MX100, MX101, MX102, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX46, MX47, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX62, MX63, MX65, MX66, MX67, MX68, MX69, MX7, MX70, MX71, MX72, MX73, MX74, MX75, MX76, MX77, MX78, MX8, MX80, MX81, MX82, MX83, MX84, MX85, MX86, MX87, MX88, MX89, MX9, MX90, MX92, MX93",SW_Cherry_MX_PCB_1.00u,90,MX_SW_solder,
MX45,SW_Cherry_MX_PCB_2.00u,1,MX_SW_solder,
MX48,SW_Cherry_MX_PCB_1.50u,1,MX_SW_solder,
MX61,SW_Cherry_MX_PCB_ISOEnter,1,MX_SW_solder,
"MX64, MX91",SW_Cherry_MX_PCB_1.75u,2,MX_SW_solder,
"MX79, MX94, MX95, MX96, MX98, MX99",SW_Cherry_MX_PCB_1.25u,6,MX_SW_solder,
MX97,SW_Cherry_MX_PCB_6.25u,1,MX_SW_solder,
"R2, R3",0805,2,22,
"R4, R5",0805,2,10k,
R6,0805,1,350,
"S1, S2",Stabilizer_Cherry_MX_2.00u,2,MX_stab,
S3,Stabilizer_Cherry_MX_6.25u,1,MX_stab,
SW1,SKQG-1155865,1,SW_Push,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz,
